Fuel_Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Gears,Power_hp,Engine_Size_cc,Cylinders
1.0,1.0,0.0,0.0,1.0,28.95,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.9,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,20.0,31.393,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,8000.0,31.9,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,27.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,30.1,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,10300.0,31.5,2024.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,11055.0,30.9,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,10.0,29.73,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,29.2,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,32.99,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,29.2,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,28.4,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,28.7,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,29.1,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,24.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,22907.0,22.45,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,23.95,2025.0,6.0,136.0,1199.0,3.0
0.0,1.0,0.0,0.0,50.0,25.9,2025.0,6.0,136.0,1198.0,5.0
1.0,0.0,0.0,1.0,76000.0,22.9,2023.0,6.0,160.0,1469.0,4.0
1.0,1.0,0.0,0.0,112618.0,29.88,2022.0,6.0,204.0,1968.0,4.0
0.0,0.0,1.0,0.0,48184.0,18.989,2020.0,6.0,116.0,999.0,3.0
