fuel,subcategory,transmission,price,year
1.0,0.0,0.0,13990.0,2016.0
1.0,1.0,0.0,21200.0,2018.0
1.0,1.0,0.0,11490.0,2016.0
1.0,0.0,0.0,15990.0,2015.0
1.0,0.0,0.0,17990.0,2017.0
0.0,0.0,0.0,13990.0,2019.0
1.0,0.0,0.0,21900.0,2018.0
1.0,0.0,0.0,33900.0,2018.0
1.0,1.0,0.0,18990.0,2017.0
1.0,1.0,0.0,10990.0,2012.0
1.0,0.0,0.0,21500.0,2023.0
1.0,0.0,0.0,11500.0,2022.0
1.0,0.0,0.0,9500.0,2014.0
1.0,0.0,0.0,15490.0,2018.0
1.0,1.0,0.0,22500.0,2019.0
1.0,1.0,0.0,9900.0,2010.0
1.0,0.0,0.0,52900.0,2025.0
1.0,0.0,1.0,13990.0,2023.0
1.0,1.0,0.0,16990.0,2021.0
1.0,1.0,1.0,12550.0,2021.0
1.0,0.0,0.0,19990.0,2014.0
1.0,0.0,0.0,19990.0,2020.0
1.0,0.0,1.0,14800.0,2020.0
0.0,1.0,1.0,10000.0,2022.0
0.0,1.0,1.0,9000.0,2021.0
0.0,1.0,0.0,9500.0,2012.0
1.0,0.0,1.0,15999.0,2022.0
1.0,0.0,1.0,8400.0,2017.0
1.0,0.0,0.0,29800.0,2021.0
1.0,0.0,0.0,16900.0,2016.0
1.0,0.0,0.0,16800.0,2015.0
1.0,1.0,1.0,15500.0,2013.0
0.0,1.0,0.0,10200.0,2018.0
1.0,0.0,0.0,21000.0,2022.0
1.0,0.0,0.0,13690.0,2020.0
1.0,0.0,0.0,19000.0,2017.0
1.0,1.0,0.0,26500.0,2022.0
1.0,1.0,0.0,26000.0,2016.0
1.0,1.0,0.0,18500.0,2018.0
1.0,0.0,0.0,15500.0,2015.0
1.0,0.0,0.0,15600.0,2014.0
1.0,1.0,1.0,8000.0,2019.0
1.0,0.0,0.0,16500.0,2019.0
1.0,0.0,1.0,19000.0,2022.0
1.0,0.0,0.0,21000.0,2017.0
1.0,0.0,1.0,16900.0,2023.0
1.0,0.0,0.0,14000.0,2018.0
1.0,0.0,0.0,11900.0,2012.0
1.0,0.0,1.0,13500.0,2017.0
1.0,0.0,0.0,11500.0,2015.0
1.0,0.0,1.0,12500.0,2022.0
1.0,0.0,0.0,12000.0,2012.0
1.0,0.0,1.0,18700.0,2024.0
0.0,0.0,1.0,12000.0,2020.0
1.0,0.0,0.0,10000.0,2008.0
1.0,0.0,0.0,34000.0,2023.0
1.0,0.0,1.0,15900.0,2018.0
1.0,0.0,0.0,12500.0,2014.0
1.0,1.0,0.0,8900.0,2012.0
1.0,1.0,0.0,22200.0,2023.0
1.0,1.0,1.0,11000.0,2016.0
1.0,1.0,0.0,11500.0,2014.0
1.0,1.0,1.0,9000.0,2014.0
1.0,1.0,1.0,14900.0,2023.0
1.0,0.0,0.0,38000.0,2019.0
1.0,0.0,1.0,10000.0,2012.0
1.0,0.0,0.0,7900.0,2008.0
1.0,0.0,0.0,25000.0,2017.0
0.0,0.0,0.0,23000.0,2015.0
1.0,0.0,0.0,24500.0,2023.0
1.0,0.0,0.0,19900.0,2016.0
1.0,0.0,0.0,14900.0,2013.0
1.0,0.0,0.0,21900.0,2019.0
1.0,0.0,0.0,13700.0,2013.0
1.0,0.0,0.0,8800.0,2011.0
1.0,0.0,0.0,33900.0,2023.0
1.0,0.0,0.0,29900.0,2017.0
1.0,0.0,0.0,31990.0,2018.0
1.0,0.0,1.0,19500.0,2024.0
1.0,0.0,0.0,22200.0,2017.0
1.0,0.0,0.0,17900.0,2020.0
1.0,1.0,1.0,11200.0,2020.0
0.0,1.0,1.0,13950.0,2020.0
1.0,0.0,0.0,10490.0,2012.0
0.0,0.0,1.0,10450.0,2023.0
1.0,0.0,1.0,21000.0,2017.0
1.0,0.0,0.0,19000.0,2013.0
0.0,0.0,0.0,6500.0,2000.0
1.0,0.0,0.0,18000.0,2023.0
1.0,0.0,0.0,34500.0,2023.0
1.0,0.0,0.0,24000.0,2019.0
1.0,0.0,0.0,29000.0,2019.0
1.0,0.0,0.0,19500.0,2019.0
1.0,0.0,0.0,11200.0,2014.0
1.0,0.0,0.0,21990.0,2015.0
1.0,1.0,0.0,12499.0,2017.0
