fuel,location,price,year,subcategory,transmission
gasolina,lima,26000.0,2019,camioneta,automatica
gasolina,lima,12000.0,2023,otros,mecanica
gasolina,lima,99000.0,2012,deportivo,secuencial
otro,lima,34990.0,2023,camioneta,automatica
otro,lima,55900.0,2020,camioneta,secuencial
gasolina,lima,63900.0,2020,camioneta,secuencial
gasolina,lima,13900.0,2019,camioneta,secuencial
gasolina,lima,180000.0,2025,camioneta,secuencial
gasolina,lima,29990.0,2024,camioneta,secuencial
otro,lima,20990.0,2024,camioneta,automatica
gasolina,lima,19990.0,2018,camioneta,automatica
gasolina,lima,58900.0,2023,otros,secuencial
gasolina,lima,16990.0,2018,camioneta,automatica
gasolina,lima,39900.0,2018,camioneta,secuencial
otro,lima,16500.0,2024,camioneta,automatica
gasolina,lima,22990.0,2020,camioneta,secuencial
otro,lima,75991.0,2023,otros,automatica
gasolina,lima,51991.0,2024,camioneta,automatica
gasolina,lima,127900.0,2018,otros,secuencial
gasolina,lima,42490.0,2025,camioneta,automatica
gasolina,provincia,20900.0,2020,otros,automatica
otro,lima,27500.0,2025,camioneta,automatica
otro,lima,19490.0,2024,camioneta,automatica
gasolina,lima,18900.0,2017,otros,automatica
gasolina,lima,31500.0,2022,camioneta,automatica
gasolina,lima,72900.0,2024,camioneta,automatica
